============================================================
StableLM-2-Zephyr-1.6B Toxic Tokens (Non-ASCII)
============================================================

--- Individual Non-ASCII Characters ---

    (codepoint: U+009D, name: UNKNOWN)
  ¡  (codepoint: U+00A1, name: INVERTED EXCLAMATION MARK)
  °  (codepoint: U+00B0, name: DEGREE SIGN)
  ±  (codepoint: U+00B1, name: PLUS-MINUS SIGN)
  ´  (codepoint: U+00B4, name: ACUTE ACCENT)
  Ó  (codepoint: U+00D3, name: LATIN CAPITAL LETTER O WITH ACUTE)
  à  (codepoint: U+00E0, name: LATIN SMALL LETTER A WITH GRAVE)
  á  (codepoint: U+00E1, name: LATIN SMALL LETTER A WITH ACUTE)
  â  (codepoint: U+00E2, name: LATIN SMALL LETTER A WITH CIRCUMFLEX)
  ã  (codepoint: U+00E3, name: LATIN SMALL LETTER A WITH TILDE)
  ä  (codepoint: U+00E4, name: LATIN SMALL LETTER A WITH DIAERESIS)
  æ  (codepoint: U+00E6, name: LATIN SMALL LETTER AE)
  ç  (codepoint: U+00E7, name: LATIN SMALL LETTER C WITH CEDILLA)
  é  (codepoint: U+00E9, name: LATIN SMALL LETTER E WITH ACUTE)
  ê  (codepoint: U+00EA, name: LATIN SMALL LETTER E WITH CIRCUMFLEX)
  ë  (codepoint: U+00EB, name: LATIN SMALL LETTER E WITH DIAERESIS)
  í  (codepoint: U+00ED, name: LATIN SMALL LETTER I WITH ACUTE)
  ñ  (codepoint: U+00F1, name: LATIN SMALL LETTER N WITH TILDE)
  ó  (codepoint: U+00F3, name: LATIN SMALL LETTER O WITH ACUTE)
  ô  (codepoint: U+00F4, name: LATIN SMALL LETTER O WITH CIRCUMFLEX)
  õ  (codepoint: U+00F5, name: LATIN SMALL LETTER O WITH TILDE)
  ú  (codepoint: U+00FA, name: LATIN SMALL LETTER U WITH ACUTE)
  û  (codepoint: U+00FB, name: LATIN SMALL LETTER U WITH CIRCUMFLEX)
  ü  (codepoint: U+00FC, name: LATIN SMALL LETTER U WITH DIAERESIS)
  ć  (codepoint: U+0107, name: LATIN SMALL LETTER C WITH ACUTE)
  č  (codepoint: U+010D, name: LATIN SMALL LETTER C WITH CARON)
  ő  (codepoint: U+0151, name: LATIN SMALL LETTER O WITH DOUBLE ACUTE)
  œ  (codepoint: U+0153, name: LATIN SMALL LIGATURE OE)
  ɪ  (codepoint: U+026A, name: LATIN LETTER SMALL CAPITAL I)
  ɴ  (codepoint: U+0274, name: LATIN LETTER SMALL CAPITAL N)
  ʏ  (codepoint: U+028F, name: LATIN LETTER SMALL CAPITAL Y)
  α  (codepoint: U+03B1, name: GREEK SMALL LETTER ALPHA)
  К  (codepoint: U+041A, name: CYRILLIC CAPITAL LETTER KA)
  а  (codepoint: U+0430, name: CYRILLIC SMALL LETTER A)
  б  (codepoint: U+0431, name: CYRILLIC SMALL LETTER BE)
  д  (codepoint: U+0434, name: CYRILLIC SMALL LETTER DE)
  е  (codepoint: U+0435, name: CYRILLIC SMALL LETTER IE)
  ж  (codepoint: U+0436, name: CYRILLIC SMALL LETTER ZHE)
  и  (codepoint: U+0438, name: CYRILLIC SMALL LETTER I)
  л  (codepoint: U+043B, name: CYRILLIC SMALL LETTER EL)
  м  (codepoint: U+043C, name: CYRILLIC SMALL LETTER EM)
  н  (codepoint: U+043D, name: CYRILLIC SMALL LETTER EN)
  о  (codepoint: U+043E, name: CYRILLIC SMALL LETTER O)
  п  (codepoint: U+043F, name: CYRILLIC SMALL LETTER PE)
  р  (codepoint: U+0440, name: CYRILLIC SMALL LETTER ER)
  т  (codepoint: U+0442, name: CYRILLIC SMALL LETTER TE)
  у  (codepoint: U+0443, name: CYRILLIC SMALL LETTER U)
  ц  (codepoint: U+0446, name: CYRILLIC SMALL LETTER TSE)
  ы  (codepoint: U+044B, name: CYRILLIC SMALL LETTER YERU)
  ا  (codepoint: U+0627, name: ARABIC LETTER ALEF)
  خ  (codepoint: U+062E, name: ARABIC LETTER KHAH)
  د  (codepoint: U+062F, name: ARABIC LETTER DAL)
  س  (codepoint: U+0633, name: ARABIC LETTER SEEN)
  ص  (codepoint: U+0635, name: ARABIC LETTER SAD)
  े  (codepoint: U+0947, name: DEVANAGARI VOWEL SIGN E)
  ำ  (codepoint: U+0E33, name: THAI CHARACTER SARA AM)
  ᴀ  (codepoint: U+1D00, name: LATIN LETTER SMALL CAPITAL A)
  ᴅ  (codepoint: U+1D05, name: LATIN LETTER SMALL CAPITAL D)
  ᴇ  (codepoint: U+1D07, name: LATIN LETTER SMALL CAPITAL E)
  ᴍ  (codepoint: U+1D0D, name: LATIN LETTER SMALL CAPITAL M)
  ᴏ  (codepoint: U+1D0F, name: LATIN LETTER SMALL CAPITAL O)
  ᴘ  (codepoint: U+1D18, name: LATIN LETTER SMALL CAPITAL P)
  ᴛ  (codepoint: U+1D1B, name: LATIN LETTER SMALL CAPITAL T)
  —  (codepoint: U+2014, name: EM DASH)
  ‘  (codepoint: U+2018, name: LEFT SINGLE QUOTATION MARK)
  ’  (codepoint: U+2019, name: RIGHT SINGLE QUOTATION MARK)
  “  (codepoint: U+201C, name: LEFT DOUBLE QUOTATION MARK)
  ”  (codepoint: U+201D, name: RIGHT DOUBLE QUOTATION MARK)
  †  (codepoint: U+2020, name: DAGGER)
  •  (codepoint: U+2022, name: BULLET)
  …  (codepoint: U+2026, name: HORIZONTAL ELLIPSIS)
  €  (codepoint: U+20AC, name: EURO SIGN)
  −  (codepoint: U+2212, name: MINUS SIGN)
  ☇  (codepoint: U+2607, name: LIGHTNING)
  ☠  (codepoint: U+2620, name: SKULL AND CROSSBONES)
  ♪  (codepoint: U+266A, name: EIGHTH NOTE)
  ⚠  (codepoint: U+26A0, name: WARNING SIGN)
  ⚫  (codepoint: U+26AB, name: MEDIUM BLACK CIRCLE)
  ⚰  (codepoint: U+26B0, name: COFFIN)
  ✔  (codepoint: U+2714, name: HEAVY CHECK MARK)
  。  (codepoint: U+3002, name: IDEOGRAPHIC FULL STOP)
  「  (codepoint: U+300C, name: LEFT CORNER BRACKET)
  い  (codepoint: U+3044, name: HIRAGANA LETTER I)
  こ  (codepoint: U+3053, name: HIRAGANA LETTER KO)
  っ  (codepoint: U+3063, name: HIRAGANA LETTER SMALL TU)
  て  (codepoint: U+3066, name: HIRAGANA LETTER TE)
  ん  (codepoint: U+3093, name: HIRAGANA LETTER N)
  两  (codepoint: U+4E24, name: CJK UNIFIED IDEOGRAPH-4E24)
  串  (codepoint: U+4E32, name: CJK UNIFIED IDEOGRAPH-4E32)
  从  (codepoint: U+4ECE, name: CJK UNIFIED IDEOGRAPH-4ECE)
  件  (codepoint: U+4EF6, name: CJK UNIFIED IDEOGRAPH-4EF6)
  例  (codepoint: U+4F8B, name: CJK UNIFIED IDEOGRAPH-4F8B)
  创  (codepoint: U+521B, name: CJK UNIFIED IDEOGRAPH-521B)
